subject,difficulty,hours_available,deadline_days,importance,study_type,previous_score,actual_hours_needed
Biology,3,3,15,2,Conceptual,68,2.5
Physics,2,2,2,3,Practical,53,11.82
History,2,4,5,1,Theory,44,2.43
History,4,8,3,1,Theory,40,4.05
Machine Learning,1,2,4,4,Theory,63,2.78
Machine Learning,2,3,1,1,Practical,48,9.12
Economics,5,1,9,4,Conceptual,88,5.91
Geography,5,4,10,4,Practical,93,6.42
Physics,2,7,3,3,Theory,57,4.58
Machine Learning,3,8,12,3,Practical,74,3.81
Physics,3,3,6,5,Conceptual,44,8.69
Physics,3,3,7,1,Theory,48,2.35
Programming,4,2,1,2,Practical,89,24.66
Programming,4,2,5,4,Theory,66,6.21
Computer Science,5,6,1,1,Theory,46,9.73
Statistics,2,8,9,5,Practical,76,4.77
Programming,4,7,5,3,Theory,80,4.48
Programming,4,2,14,4,Conceptual,51,5.09
History,4,7,2,4,Practical,40,27.6
Physics,5,2,1,1,Theory,42,9.86
Programming,5,8,14,5,Theory,70,3.82
Statistics,2,1,5,1,Theory,74,1.47
History,4,7,15,4,Theory,86,2.15
Programming,1,1,15,5,Conceptual,41,3.63
AI,2,4,11,4,Conceptual,88,2.32
Geography,3,5,11,2,Practical,91,2.18
Biology,3,3,9,5,Conceptual,72,5.34
Physics,1,5,1,4,Practical,67,13.98
History,3,7,8,4,Practical,46,7.74
Economics,2,6,6,1,Theory,92,0.79
Economics,4,3,11,5,Conceptual,72,5.71
Economics,2,8,12,5,Practical,69,4.36
English,1,6,4,1,Practical,54,3.51
Programming,2,5,12,1,Theory,83,0.81
History,1,2,10,3,Practical,69,2.76
Math,2,8,12,2,Theory,43,2.36
Math,4,7,2,4,Practical,54,26.76
AI,1,4,13,5,Practical,82,2.23
History,4,8,9,1,Conceptual,45,3.71
English,4,8,6,1,Theory,66,2.15
Statistics,1,1,7,4,Theory,78,1.62
AI,3,3,13,4,Conceptual,40,5.1
Math,4,4,7,5,Conceptual,44,9.55
AI,4,1,11,4,Conceptual,54,5.7
AI,5,3,5,2,Practical,68,7.92
History,5,6,8,3,Conceptual,88,5.08
History,4,7,13,4,Conceptual,49,5.4
English,4,6,10,3,Conceptual,61,4.75
Statistics,5,4,8,1,Conceptual,77,2.6
Programming,2,3,3,4,Practical,46,11.24
Economics,3,8,2,3,Practical,70,15.3
Chemistry,2,5,13,4,Practical,91,2.39
Geography,1,2,1,4,Theory,86,6.85
Geography,3,4,13,5,Practical,64,5.62
Economics,1,3,7,3,Theory,56,2.09
Computer Science,1,6,5,5,Practical,88,3.72
English,2,4,1,5,Conceptual,80,24.96
History,3,8,15,5,Practical,83,4.02
Geography,1,7,2,5,Practical,83,8.52
English,2,2,6,4,Practical,88,4.72
AI,1,4,2,4,Practical,80,7.2
Computer Science,1,7,5,5,Practical,86,3.84
Statistics,3,8,1,1,Conceptual,86,7.87
Geography,1,4,4,4,Theory,70,2.56
Biology,4,3,10,3,Conceptual,79,3.89
Chemistry,5,7,6,4,Conceptual,40,10.88
Biology,3,7,11,3,Conceptual,95,2.2
Programming,2,1,1,2,Practical,79,13.26
AI,1,7,4,1,Conceptual,52,2.9
Economics,5,3,13,4,Practical,51,7.56
Programming,1,4,8,4,Conceptual,77,2.3
Machine Learning,1,1,9,1,Conceptual,65,1.95
Biology,4,8,4,3,Practical,94,9.36
Economics,4,3,4,5,Theory,57,9.38
Machine Learning,3,6,13,4,Conceptual,63,3.99
AI,3,3,11,2,Practical,72,3.32
AI,5,4,14,4,Theory,79,2.96
English,4,5,4,5,Theory,89,8.35
Chemistry,4,3,7,3,Practical,76,6.58
English,4,6,6,2,Practical,67,5.98
Machine Learning,2,8,5,5,Practical,79,7.26
Geography,5,7,6,2,Theory,68,3.69
Math,5,2,8,5,Theory,79,5.67
Math,4,7,7,3,Theory,79,3.41
Geography,3,1,2,2,Practical,86,9.84
Statistics,3,4,2,4,Conceptual,45,17.04
Geography,1,8,4,3,Conceptual,69,3.29
Biology,3,5,15,1,Conceptual,71,1.87
Machine Learning,3,6,8,1,Theory,67,1.66
English,5,8,5,4,Practical,58,14.52
AI,4,5,2,4,Conceptual,69,20.69
Chemistry,3,6,2,2,Practical,72,10.68
Geography,4,2,3,4,Practical,50,19.0
Physics,5,6,7,4,Practical,46,11.81
Geography,5,4,10,3,Practical,87,5.28
Economics,2,6,2,4,Theory,63,7.58
Programming,1,4,11,1,Practical,73,1.89
Computer Science,1,4,6,3,Theory,82,1.38
AI,1,8,4,1,Practical,73,2.37
Machine Learning,1,7,4,5,Conceptual,53,5.26
Programming,2,5,14,3,Theory,66,1.77
Programming,3,8,10,5,Practical,72,6.18
Computer Science,2,2,8,4,Practical,84,3.96
Programming,1,2,6,4,Practical,93,2.42
Machine Learning,4,1,7,2,Practical,93,3.85
Machine Learning,3,4,3,4,Conceptual,86,10.27
Computer Science,3,6,13,4,Practical,56,5.41
AI,5,3,2,4,Theory,69,16.99
Chemistry,5,1,2,2,Practical,76,16.44
Math,1,1,5,1,Theory,74,1.15
Biology,5,1,4,3,Practical,86,12.09
Programming,2,4,14,4,Practical,80,2.91
Math,2,1,4,3,Practical,44,7.86
Programming,4,4,6,3,Practical,64,8.16
History,5,5,5,4,Conceptual,95,9.84
Geography,4,6,12,4,Practical,44,7.36
Computer Science,2,4,2,2,Conceptual,75,6.0
Programming,1,5,14,5,Practical,55,3.77
Physics,1,6,14,1,Practical,41,3.75
Geography,4,6,11,2,Practical,41,5.72
Biology,5,3,2,3,Practical,45,25.8
Programming,3,8,4,4,Theory,43,6.62
English,5,7,14,2,Theory,45,2.9
Machine Learning,2,2,9,1,Practical,43,4.09
Computer Science,4,8,10,4,Practical,65,6.9
Biology,5,6,3,4,Conceptual,65,17.68
Geography,1,4,8,1,Theory,52,1.74
AI,3,6,12,3,Theory,56,2.61
Computer Science,1,4,12,2,Practical,46,3.74
Geography,3,4,14,3,Theory,44,2.82
Programming,2,5,14,2,Practical,72,2.54
Geography,3,3,2,5,Conceptual,52,20.3
Chemistry,1,2,2,3,Conceptual,55,5.76
Computer Science,4,5,7,1,Theory,73,1.78
Statistics,4,8,1,4,Theory,91,25.89
Chemistry,2,1,7,2,Conceptual,65,3.05
Geography,2,4,2,1,Practical,46,6.24
Chemistry,2,2,3,5,Theory,46,7.06
AI,1,7,15,5,Conceptual,70,2.24
Statistics,3,6,10,1,Practical,72,2.58
Physics,2,7,2,5,Practical,47,18.18
History,1,3,11,4,Practical,57,3.67
Machine Learning,3,2,8,4,Theory,52,3.94
Economics,3,4,2,5,Conceptual,59,19.97
History,5,4,15,3,Theory,95,1.76
Chemistry,1,6,3,1,Practical,52,3.88
Machine Learning,4,8,14,3,Conceptual,85,2.78
English,4,5,14,2,Conceptual,87,2.0
Physics,4,7,9,4,Theory,51,4.41
Economics,5,5,6,5,Practical,90,13.1
Chemistry,4,2,7,1,Conceptual,40,4.25
Economics,5,3,11,2,Conceptual,53,4.44
English,2,7,12,2,Theory,66,1.62
History,5,6,14,4,Conceptual,43,6.16
Geography,2,4,13,5,Conceptual,88,2.42
History,5,5,7,1,Practical,78,3.46
Machine Learning,5,6,4,4,Conceptual,85,12.72
Economics,5,5,4,1,Conceptual,58,5.02
Computer Science,3,4,15,5,Practical,40,6.6
Physics,2,3,8,1,Practical,70,2.55
Programming,1,4,13,4,Practical,57,3.5
Chemistry,3,7,6,1,Practical,88,2.22
Economics,3,1,5,4,Practical,60,9.6
History,4,5,5,2,Practical,88,5.52
Programming,3,7,4,2,Theory,90,2.72
English,3,2,8,2,Conceptual,42,4.58
Computer Science,4,4,15,3,Conceptual,76,3.07
History,5,2,13,2,Theory,60,2.51
Machine Learning,1,8,6,4,Conceptual,75,2.8
Statistics,1,5,11,2,Theory,84,0.8
History,1,1,9,2,Theory,77,1.09
Geography,4,3,3,5,Practical,52,22.88
Statistics,1,3,9,5,Theory,69,1.88
Geography,2,6,9,3,Conceptual,59,3.57
Geography,4,3,13,4,Conceptual,41,5.79
Chemistry,3,5,14,2,Theory,94,0.88
AI,1,3,3,5,Practical,46,8.24
English,2,5,15,1,Conceptual,83,1.14
Computer Science,2,7,3,2,Conceptual,86,3.87
Physics,5,1,15,3,Conceptual,94,2.69
History,3,5,9,4,Practical,68,5.92
Economics,2,8,13,4,Conceptual,61,3.35
Computer Science,5,2,1,1,Practical,40,18.6
English,5,2,14,1,Theory,74,1.4
Geography,3,4,1,4,Theory,64,20.35
Economics,3,3,7,1,Theory,47,2.38
Geography,2,6,5,2,Theory,92,1.54
Biology,1,6,7,5,Conceptual,58,3.73
Machine Learning,4,1,7,4,Conceptual,51,7.84
Programming,4,5,5,5,Practical,67,13.98
History,5,3,8,3,Conceptual,91,4.93
Economics,2,8,8,4,Theory,47,3.3
Chemistry,2,1,7,4,Theory,66,2.92
Math,5,8,15,3,Theory,76,2.37
Computer Science,1,6,8,1,Practical,77,1.75
English,1,1,9,3,Conceptual,83,1.62
Math,1,6,11,5,Practical,50,4.36
Geography,3,1,10,1,Practical,46,4.14
Programming,4,1,15,5,Conceptual,69,4.69
Math,4,7,10,1,Practical,93,1.62
Geography,1,6,8,2,Conceptual,54,2.81
Math,1,3,1,3,Theory,41,6.69
AI,3,7,6,2,Theory,87,2.02
Programming,1,2,8,2,Conceptual,47,3.14
Physics,4,4,4,4,Conceptual,52,11.9
Biology,2,5,11,2,Practical,72,2.77
AI,3,2,10,2,Conceptual,94,1.73
English,3,7,8,3,Practical,64,5.54
Chemistry,3,8,15,3,Practical,95,2.1
Machine Learning,1,8,2,3,Practical,67,6.48
Machine Learning,3,5,5,4,Practical,72,8.88
Geography,3,8,9,1,Practical,43,4.42
English,3,7,6,1,Theory,43,2.62
Machine Learning,5,7,9,2,Conceptual,43,5.4
Geography,4,7,11,2,Practical,41,5.72
Physics,4,3,2,5,Theory,85,16.48
Chemistry,3,2,4,5,Practical,47,14.43
AI,3,2,13,4,Theory,88,1.86
Math,1,7,13,1,Conceptual,93,0.52
Statistics,3,5,14,5,Practical,89,3.87
Biology,3,2,8,2,Practical,65,4.35
AI,4,6,6,1,Theory,69,2.06
Statistics,3,8,10,2,Theory,51,2.53
Machine Learning,5,5,12,2,Practical,84,3.46
Physics,3,1,13,1,Theory,63,1.55
Economics,2,5,9,3,Conceptual,70,3.04
English,4,2,4,5,Conceptual,87,12.62
History,5,2,2,2,Conceptual,74,13.25
Computer Science,5,1,12,3,Conceptual,80,3.96
Biology,5,3,9,1,Theory,84,1.4
Statistics,5,5,15,4,Conceptual,51,5.55
Geography,1,8,8,1,Practical,42,3.85
Physics,2,6,1,4,Conceptual,78,20.26
Statistics,2,1,8,2,Conceptual,57,3.26
Economics,5,6,10,1,Practical,85,2.4
Chemistry,5,7,3,1,Conceptual,60,5.92
Biology,2,5,6,3,Conceptual,90,2.88
Machine Learning,4,6,15,1,Practical,63,3.02
AI,2,8,11,5,Practical,49,5.79
Geography,3,3,3,3,Conceptual,76,8.35
AI,1,7,10,5,Practical,66,3.54
Biology,3,8,6,4,Conceptual,81,5.71
Biology,1,8,8,1,Theory,82,0.78
Machine Learning,3,6,12,4,Theory,86,2.05
Chemistry,5,1,14,5,Practical,95,5.66
English,2,3,1,2,Theory,62,7.62
Economics,2,4,3,4,Theory,74,5.1
Chemistry,1,3,4,1,Conceptual,61,2.47
Economics,5,7,7,1,Practical,43,5.56
Geography,3,2,9,2,Theory,56,2.47
Economics,2,8,8,2,Conceptual,88,1.78
Computer Science,3,5,10,4,Conceptual,62,4.7
English,5,7,2,2,Conceptual,50,14.4
English,5,2,5,1,Conceptual,40,5.28
Statistics,1,4,2,5,Theory,49,5.63
Chemistry,1,4,14,1,Conceptual,41,3.0
Math,5,7,13,1,Conceptual,84,1.69
Math,5,5,6,2,Practical,82,6.08
Biology,4,1,6,1,Practical,74,3.56
Math,4,7,5,4,Theory,95,5.28
Biology,1,7,15,5,Conceptual,81,1.71
AI,3,3,9,1,Theory,68,1.56
Programming,5,7,1,2,Conceptual,60,25.92
AI,3,4,4,5,Theory,74,6.83
Programming,1,2,6,5,Theory,52,2.87
Computer Science,1,1,1,5,Conceptual,56,14.11
Programming,5,2,14,1,Practical,77,2.45
Machine Learning,4,6,8,2,Practical,65,5.1
Statistics,1,3,8,3,Theory,68,1.62
Chemistry,4,1,3,1,Practical,51,6.94
Biology,5,5,4,1,Practical,43,7.17
Math,5,2,10,3,Practical,84,5.46
Geography,1,7,2,1,Practical,45,4.8
English,1,7,2,3,Conceptual,76,4.75
Math,3,3,9,4,Conceptual,88,3.78
Statistics,1,4,3,3,Practical,69,4.86
AI,1,8,11,1,Conceptual,92,0.6
Statistics,4,7,9,2,Practical,76,4.11
Math,1,2,10,3,Theory,86,0.93
Math,4,2,8,2,Conceptual,81,3.31
English,1,1,11,1,Conceptual,49,2.67
Biology,5,6,4,2,Practical,75,9.0
English,3,3,2,1,Practical,43,7.92
Physics,5,7,7,1,Practical,64,4.3
Computer Science,4,8,4,4,Theory,67,7.46
Machine Learning,3,6,1,2,Conceptual,91,14.83
AI,5,1,8,4,Theory,54,5.47
Geography,4,4,12,2,Conceptual,77,2.7
Computer Science,4,7,5,4,Conceptual,94,7.97
Math,5,7,15,1,Theory,75,1.33
Chemistry,3,4,7,3,Practical,87,4.64
Physics,2,5,7,2,Theory,91,1.2
English,5,4,3,2,Practical,56,12.64
Statistics,2,8,3,3,Conceptual,56,6.91
AI,1,8,10,5,Theory,46,2.53
Biology,3,2,6,3,Conceptual,85,4.32
Computer Science,3,2,5,3,Theory,88,3.26
AI,1,5,3,4,Conceptual,42,5.98
Economics,3,8,1,4,Theory,48,20.86
Chemistry,2,3,12,1,Theory,41,2.15
Geography,3,6,13,4,Conceptual,82,3.08
Machine Learning,1,7,10,1,Practical,42,3.78
Economics,5,3,4,1,Theory,52,3.54
Physics,1,8,5,2,Practical,61,3.54
Economics,5,6,6,4,Practical,91,10.54
Programming,1,7,13,4,Practical,57,3.5
Math,4,2,15,3,Theory,86,1.73
AI,4,5,3,3,Theory,60,7.68
History,1,1,9,3,Practical,89,1.66
Statistics,4,6,8,4,Theory,62,4.42
Chemistry,2,8,14,2,Theory,71,1.39
Physics,4,6,15,3,Practical,45,5.7
Chemistry,5,8,15,3,Theory,78,2.3
Geography,3,2,12,4,Practical,70,4.8
English,2,5,6,4,Conceptual,50,5.6
AI,2,6,7,1,Conceptual,44,3.37
Statistics,4,1,8,5,Practical,85,8.4
AI,3,5,1,3,Practical,61,29.34
Machine Learning,2,7,13,2,Practical,78,2.24
Chemistry,4,7,2,1,Conceptual,93,5.14
Physics,5,6,6,2,Conceptual,65,5.68
English,1,3,10,4,Theory,85,1.12
Economics,3,3,6,5,Theory,44,5.79
Chemistry,3,6,9,1,Practical,80,2.2
Programming,5,5,1,1,Theory,49,9.63
English,2,6,6,1,Theory,90,0.85
Statistics,3,6,1,3,Theory,71,15.33
Physics,4,1,4,5,Conceptual,52,14.3
History,3,4,6,4,Practical,83,7.02
AI,5,1,3,5,Practical,50,28.0
English,3,7,15,5,Practical,66,5.04
Computer Science,3,1,7,2,Practical,64,4.73
Biology,3,5,9,3,Conceptual,66,4.03
Economics,4,6,2,2,Conceptual,45,12.24
Math,2,4,3,4,Practical,81,9.14
History,1,4,3,3,Practical,69,4.86
English,3,7,6,1,Theory,71,1.73
Programming,5,5,12,1,Conceptual,94,1.29
Biology,2,5,11,2,Theory,91,0.87
Programming,5,1,13,3,Conceptual,82,3.63
Programming,4,7,4,5,Conceptual,87,12.62
Programming,5,4,9,5,Practical,56,10.97
Physics,2,4,1,1,Theory,45,4.96
Computer Science,4,6,2,2,Theory,64,7.55
Geography,4,8,15,4,Theory,95,1.87
Chemistry,2,2,6,1,Practical,59,3.46
Computer Science,2,1,4,5,Theory,83,4.54
Machine Learning,3,7,14,4,Practical,95,2.87
Computer Science,1,8,9,3,Theory,95,0.69
Biology,2,5,14,4,Practical,92,2.19
Biology,2,1,13,4,Theory,92,1.24
Computer Science,4,3,9,3,Theory,82,2.71
Programming,1,3,4,3,Practical,73,3.87
Machine Learning,4,6,8,1,Conceptual,89,1.73
Biology,3,6,11,2,Conceptual,70,2.75
Biology,5,5,15,3,Conceptual,60,4.32
Programming,1,5,2,3,Conceptual,60,5.52
Geography,5,4,4,4,Practical,94,15.36
Computer Science,2,8,4,5,Conceptual,53,8.26
History,4,6,14,4,Practical,89,4.09
Economics,1,1,3,1,Practical,68,2.92
Statistics,3,4,14,2,Conceptual,50,3.43
Statistics,2,4,4,2,Theory,89,1.95
Statistics,4,8,7,1,Practical,63,3.93
History,5,2,5,3,Theory,68,5.82
Geography,5,4,3,3,Conceptual,77,13.1
Geography,2,1,1,3,Conceptual,78,15.46
Math,5,5,15,2,Conceptual,53,3.86
Machine Learning,3,7,12,1,Conceptual,85,1.32
History,5,5,14,2,Conceptual,52,4.02
Statistics,3,8,15,2,Theory,89,0.99
Chemistry,1,6,15,2,Practical,83,1.42
Programming,5,3,3,5,Conceptual,79,21.01
Physics,3,1,7,1,Practical,48,4.41
Math,2,2,12,5,Practical,65,4.6
Geography,2,6,6,1,Conceptual,50,3.2
History,1,8,8,5,Practical,58,4.39
Statistics,3,4,9,1,Practical,91,1.54
Statistics,1,8,8,3,Conceptual,50,3.3
Statistics,2,7,1,5,Conceptual,65,25.68
Biology,5,1,9,4,Conceptual,88,5.91
Programming,5,3,13,5,Theory,47,4.77
English,4,1,10,4,Theory,56,3.97
Machine Learning,2,1,5,5,Theory,92,3.46
AI,1,2,14,5,Conceptual,46,3.45
Machine Learning,4,7,1,1,Practical,54,14.76
Chemistry,3,3,14,4,Conceptual,94,2.35
Computer Science,4,5,11,1,Practical,71,2.83
Computer Science,3,1,7,2,Conceptual,61,3.93
AI,2,8,13,2,Practical,42,4.4
Biology,5,6,2,4,Conceptual,91,24.43
Biology,4,2,4,5,Practical,90,15.6
Biology,5,1,13,5,Practical,79,7.03
Machine Learning,5,1,3,5,Conceptual,85,20.72
Machine Learning,4,3,12,3,Conceptual,76,3.55
Physics,5,6,9,1,Theory,67,1.94
Programming,1,6,4,2,Theory,44,2.59
Economics,2,8,4,4,Conceptual,40,7.68
History,5,3,8,1,Theory,69,1.99
History,5,2,1,3,Practical,55,47.7
Statistics,2,4,9,1,Theory,47,2.05
Machine Learning,1,5,12,3,Theory,81,1.01
History,3,1,10,4,Conceptual,51,5.23
English,4,8,3,1,Theory,75,2.93
Statistics,2,4,15,1,Practical,59,2.86
Math,4,7,14,2,Conceptual,63,3.15
Statistics,2,6,11,4,Theory,87,1.58
English,3,1,8,4,Theory,68,3.42
Computer Science,4,2,9,4,Practical,76,6.77
Programming,5,8,3,3,Theory,62,9.22
Statistics,1,1,5,1,Practical,53,3.42
Math,2,5,14,3,Conceptual,75,2.23
AI,1,4,11,4,Theory,62,1.8
Physics,5,8,7,3,Theory,50,5.03
Economics,4,1,14,1,Theory,79,1.13
Statistics,3,8,1,5,Conceptual,44,38.69
Biology,2,6,14,2,Conceptual,64,2.41
AI,1,6,5,5,Practical,77,4.38
History,4,4,15,2,Theory,61,2.1
Biology,1,1,10,4,Practical,43,4.62
Computer Science,2,6,8,2,Practical,56,4.14
AI,5,1,15,1,Conceptual,85,1.52
English,5,1,12,3,Theory,40,3.92
Statistics,4,8,4,2,Practical,80,7.2
Statistics,2,6,6,2,Theory,89,1.42
English,1,7,7,2,Theory,73,1.32
Physics,2,3,9,2,Practical,52,4.21
Chemistry,1,5,5,3,Theory,89,1.31
Programming,4,2,1,4,Theory,73,26.46
Biology,3,2,13,5,Conceptual,73,4.07
English,4,1,9,4,Theory,69,3.84
Programming,2,3,4,1,Conceptual,90,1.68
Programming,3,3,13,1,Conceptual,93,0.89
Chemistry,3,5,7,1,Practical,72,2.97
History,5,1,7,5,Theory,44,7.51
Economics,4,3,6,4,Practical,54,10.76
Computer Science,5,3,5,5,Practical,56,17.64
Economics,3,6,13,3,Conceptual,62,3.49
Physics,2,8,2,5,Practical,78,16.32
Programming,4,4,1,5,Conceptual,69,49.49
Machine Learning,3,2,7,1,Practical,88,2.01
AI,2,2,2,5,Practical,64,17.16
Biology,4,1,10,4,Theory,49,4.19
History,1,5,4,2,Conceptual,41,4.03
Biology,5,5,9,3,Theory,47,4.36
Programming,1,4,7,3,Theory,82,1.26
Statistics,4,1,2,3,Conceptual,95,14.64
History,3,5,12,1,Practical,88,1.47
English,1,3,7,3,Theory,49,2.32
Statistics,3,3,2,1,Practical,83,5.52
AI,1,5,11,1,Conceptual,86,0.89
AI,3,2,8,3,Theory,70,2.76
Computer Science,5,5,15,1,Theory,89,0.89
Geography,2,1,10,4,Theory,60,2.56
Statistics,4,6,6,3,Theory,46,4.93
Programming,1,1,5,5,Theory,83,2.14
Chemistry,1,6,5,2,Practical,70,3.0
Biology,5,8,5,5,Theory,78,8.7
Economics,5,3,11,3,Practical,55,6.79
Machine Learning,2,1,7,4,Conceptual,86,3.41
Statistics,3,5,8,2,Practical,88,2.97
Computer Science,1,3,4,2,Conceptual,87,1.82
Math,5,5,13,3,Theory,64,3.0
Programming,3,3,13,5,Conceptual,63,4.55
Programming,1,4,15,5,Theory,95,0.69
Biology,3,5,15,1,Theory,59,1.63
Math,2,3,10,4,Conceptual,54,4.13
History,1,7,3,3,Theory,66,2.69
Computer Science,1,3,2,1,Practical,54,4.26
English,2,3,15,1,Practical,81,1.54
Geography,1,2,8,1,Theory,80,0.84
Chemistry,1,7,13,5,Theory,91,0.9
Geography,5,6,15,1,Theory,83,1.08
Geography,1,7,7,2,Conceptual,66,2.32
AI,5,7,6,3,Practical,45,10.8
Machine Learning,5,6,2,1,Practical,50,10.5
Geography,2,5,14,3,Theory,46,2.41
English,2,8,6,1,Theory,78,1.24
Economics,3,4,10,1,Theory,94,0.67
Geography,1,7,4,5,Conceptual,44,5.69
Geography,2,8,10,4,Conceptual,68,3.46
Physics,3,2,15,3,Theory,57,2.34
History,5,1,10,5,Theory,80,4.64
Programming,2,4,9,5,Conceptual,67,4.25
Physics,5,2,7,2,Practical,63,6.51
AI,5,8,6,1,Theory,50,2.93
Programming,5,8,13,1,Practical,69,3.01
Chemistry,5,7,12,5,Theory,73,4.2
AI,4,3,13,2,Practical,64,4.01
Programming,2,2,4,2,Practical,85,3.9
Geography,4,3,10,4,Theory,73,3.42
Computer Science,2,6,4,1,Practical,48,4.62
Economics,2,1,11,1,Conceptual,92,0.82
Computer Science,2,1,1,3,Conceptual,71,15.79
History,3,2,14,5,Conceptual,43,5.31
Machine Learning,1,6,2,3,Theory,44,4.19
Programming,4,2,2,5,Theory,89,16.35
Geography,3,1,15,2,Conceptual,87,1.58
Chemistry,1,1,7,1,Conceptual,62,2.17
Biology,3,7,10,5,Theory,70,3.36
Economics,5,4,14,4,Practical,74,5.85
AI,4,5,2,3,Practical,55,20.7
Economics,3,5,8,4,Theory,52,3.94
Machine Learning,1,7,15,2,Theory,85,0.69
English,4,8,1,5,Practical,73,61.62
Economics,4,3,5,4,Conceptual,73,8.98
Geography,1,1,14,5,Practical,71,2.81
AI,2,7,13,1,Practical,72,2.14
Computer Science,5,8,5,3,Conceptual,40,10.08
History,5,7,4,1,Theory,75,2.8
AI,4,5,8,3,Conceptual,85,4.32
Economics,1,8,10,5,Conceptual,67,2.78
Geography,3,1,2,4,Theory,84,10.11
Chemistry,3,6,4,1,Theory,87,1.62
Statistics,4,1,10,2,Practical,56,5.04
Computer Science,2,5,4,3,Conceptual,49,6.05
Computer Science,1,7,11,4,Theory,53,2.09
Physics,5,8,3,4,Practical,58,22.52
AI,1,3,12,5,Conceptual,82,1.86
Biology,2,3,4,2,Conceptual,85,3.12
Math,5,4,8,2,Conceptual,55,5.16
History,3,7,10,2,Conceptual,58,3.46
Physics,3,4,7,1,Theory,95,0.85
Economics,1,5,10,3,Practical,73,2.52
Math,4,3,10,3,Practical,71,5.34
Economics,4,3,9,1,Theory,57,2.09
Programming,1,1,14,3,Practical,95,0.94
AI,1,5,2,3,Conceptual,47,6.14
Economics,2,8,5,1,Theory,80,1.28
Statistics,5,3,11,4,Conceptual,83,5.18
Programming,5,1,14,4,Theory,74,3.12
Programming,5,7,3,3,Practical,77,16.38
Geography,5,3,5,1,Conceptual,74,3.65
AI,5,5,15,2,Practical,61,4.34
Physics,4,1,9,1,Conceptual,76,2.22
Geography,1,2,14,2,Conceptual,46,2.93
Geography,3,8,14,4,Theory,83,1.92
Geography,4,8,5,3,Practical,68,9.12
English,2,1,7,5,Practical,80,5.49
Statistics,3,4,7,1,Theory,46,2.41
History,4,1,13,5,Conceptual,81,4.6
Programming,4,1,2,4,Practical,50,27.0
Statistics,1,2,1,1,Theory,84,2.11
Economics,4,7,8,5,Theory,52,5.54
Physics,3,8,5,2,Conceptual,87,3.5
Economics,2,7,14,3,Practical,77,2.67
Chemistry,1,7,2,5,Theory,67,5.06
Machine Learning,5,7,4,1,Practical,89,4.41
Biology,1,2,14,2,Conceptual,45,2.98
Math,3,2,3,1,Conceptual,59,4.37
Math,2,8,14,5,Conceptual,79,2.72
History,3,7,15,4,Conceptual,41,4.75
Statistics,5,3,10,2,Theory,66,2.69
Physics,3,3,7,2,Practical,43,5.99
Biology,1,2,3,3,Practical,49,6.06
Physics,2,3,5,2,Conceptual,53,4.18
Math,1,8,6,5,Conceptual,94,2.29
Chemistry,1,3,6,5,Conceptual,57,4.06
Math,2,1,10,5,Practical,55,5.7
Economics,2,2,15,5,Conceptual,70,3.04
History,5,3,11,5,Practical,86,7.66
Computer Science,1,1,8,4,Conceptual,75,2.4
Economics,5,2,10,4,Practical,41,9.54
Statistics,2,5,15,2,Practical,48,3.92
Geography,2,1,6,3,Theory,64,2.75
Biology,5,8,12,5,Conceptual,76,6.15
Physics,4,4,8,5,Theory,88,4.38
Physics,5,6,7,2,Theory,64,3.44
Math,1,8,12,3,Conceptual,57,2.66
Machine Learning,3,7,2,3,Theory,46,8.93
English,4,3,4,1,Conceptual,82,3.26
AI,4,8,11,2,Theory,90,1.48
Programming,1,1,8,3,Theory,55,2.04
Machine Learning,3,8,12,5,Theory,93,2.22
Biology,5,8,1,5,Theory,67,41.06
English,4,1,12,2,Theory,71,1.99
Chemistry,2,3,1,3,Practical,75,19.5
Statistics,2,5,12,1,Practical,81,1.64
AI,1,8,15,1,Conceptual,63,1.94
Biology,4,6,12,5,Practical,91,5.54
Physics,4,3,12,1,Theory,45,2.29
Biology,5,5,4,5,Practical,77,20.13
Machine Learning,5,4,4,4,Theory,80,8.64
History,1,2,3,3,Conceptual,73,3.7
Biology,4,5,13,5,Theory,54,3.93
Biology,2,3,9,4,Theory,76,2.19
Programming,4,7,6,5,Conceptual,71,9.39
AI,4,2,1,4,Practical,77,49.38
Biology,5,2,9,5,Theory,88,4.83
Programming,4,8,8,4,Theory,51,4.77
Statistics,4,1,11,4,Conceptual,94,3.78
Physics,5,2,2,1,Theory,60,5.28
Math,5,7,7,4,Conceptual,90,7.34
Programming,3,8,7,2,Practical,79,3.83
Math,3,5,4,5,Theory,79,6.67
Geography,2,4,14,4,Practical,42,5.19
English,1,4,11,4,Conceptual,91,1.3
Programming,5,6,3,1,Theory,54,4.14
Math,2,1,8,4,Theory,42,3.46
Physics,5,8,5,5,Conceptual,51,14.35
Math,3,7,7,5,Conceptual,84,5.91
Chemistry,2,2,8,3,Conceptual,57,3.86
Machine Learning,4,1,5,2,Conceptual,44,6.53
Programming,2,1,4,5,Conceptual,94,6.29
Programming,4,1,7,5,Practical,82,9.65
Chemistry,3,6,9,1,Theory,47,2.23
History,2,1,3,4,Theory,72,5.16
AI,1,4,1,5,Practical,88,15.72
Computer Science,4,4,10,5,Theory,43,5.02
Math,1,6,6,5,Theory,46,3.06
Chemistry,3,7,6,3,Theory,84,2.91
Statistics,2,8,14,2,Theory,61,1.71
